"#","name","cooking_time","complexity","price","created_at"
"95","GR.SUPERTJE PICC","300","2","1.9","2022-12-23T00:18:12.000000Z"
"96","GR.SUPERTJE OORL","300","2","1.9","2022-12-23T00:18:12.000000Z"
"97","KINDERFR.M.OF.C","300","2","1.9","2022-12-23T00:18:12.000000Z"
"98","KINDERFR.SPEC/SATE","300","2","1.9","2022-12-23T00:18:12.000000Z"
"99","KINDERFRIET STOO","300","2","1.9","2022-12-23T00:18:12.000000Z"
"100","KINDERBOX","300","4","1.9","2022-12-23T00:18:12.000000Z"
"101","CHOCODIP","","1","1.9","2022-12-23T00:18:12.000000Z"
"102","DISCODIP","","1","1.9","2022-12-23T00:18:12.000000Z"
"103","NOTEN","","1","1.9","2022-12-23T00:18:12.000000Z"
"104","RADARTOREN","","1","1.9","2022-12-23T00:18:12.000000Z"
"105","VIERKANTE BEKER","","1","1.9","2022-12-23T00:18:12.000000Z"
"106","REUZEBEKER","","1","1.9","2022-12-23T00:18:12.000000Z"
"107","OUBLIEHOORN","","1","1.9","2022-12-23T00:18:12.000000Z"
"108","SUNDAE SMALL","","1","1.9","2022-12-23T00:18:12.000000Z"
"109","SUNDAE MED.","","1","1.9","2022-12-23T00:18:12.000000Z"
"110","SUNDAE BIG","","1","1.9","2022-12-23T00:18:12.000000Z"
"111","SCHATKIST","","1","1.9","2022-12-23T00:18:12.000000Z"
"112","MAGNUM","","1","1.9","2022-12-23T00:18:12.000000Z"
"113","CORNETTO","","1","1.9","2022-12-23T00:18:12.000000Z"
"114","CALIPPO","","1","1.9","2022-12-23T00:18:12.000000Z"
"115","TWISTER","","1","1.9","2022-12-23T00:18:12.000000Z"
"116","CCALLIPO GR. ICE","","1","1.9","2022-12-23T00:18:12.000000Z"
"117","SPLIT","","1","1.9","2022-12-23T00:18:12.000000Z"
"118","SOLERO","","1","1.9","2022-12-23T00:18:12.000000Z"
"119","CORNETTO CONE","","1","1.9","2022-12-23T00:18:12.000000Z"
"120","FESTINI PEER","","1","1.9","2022-12-23T00:18:12.000000Z"
"121","RAKET","","1","1.9","2022-12-23T00:18:12.000000Z"
"122","KL.M.BEKER SOFTI","","1","1.9","2022-12-23T00:18:12.000000Z"
"123","MED.M.BEKER SOFT","","1","1.9","2022-12-23T00:18:12.000000Z"
"124","GR.M.BEKER SOFTI","","1","1.9","2022-12-23T00:18:12.000000Z"
"125","AARDBEISAUS","","1","1.9","2022-12-23T00:18:12.000000Z"
"126","CHOCOLADE","","1","1.9","2022-12-23T00:18:12.000000Z"
"127","KERS","","1","1.9","2022-12-23T00:18:12.000000Z"
"128","BANAAN","","1","1.9","2022-12-23T00:18:12.000000Z"
"129","KARAMEL","","1","1.9","2022-12-23T00:18:12.000000Z"
"130","KL.AARDBEI","","1","1.9","2022-12-23T00:18:12.000000Z"
"131","KL.BANAAN","","1","1.9","2022-12-23T00:18:12.000000Z"
"132","KL.VANILLE","","1","1.9","2022-12-23T00:18:12.000000Z"
"133","KL.CHOC.","","1","1.9","2022-12-23T00:18:12.000000Z"
"134","MED.AARDBEI","","1","1.9","2022-12-23T00:18:12.000000Z"
"135","MED.BANAAN","","1","1.9","2022-12-23T00:18:12.000000Z"
"136","MED.VANILLE","","1","1.9","2022-12-23T00:18:12.000000Z"
"137","MED.CHOC.","","1","1.9","2022-12-23T00:18:12.000000Z"
"138","GR.AARDBEI","","1","1.9","2022-12-23T00:18:12.000000Z"
"139","GR.BANAAN","","1","1.9","2022-12-23T00:18:12.000000Z"
"140","GR.VANILLE","","1","1.9","2022-12-23T00:18:12.000000Z"
"141","GR.CHOC.","","1","1.9","2022-12-23T00:18:12.000000Z"
"142","BAMISCHOTEL","600","7","2","2022-12-23T00:18:12.000000Z"
"143","NASISCHOTEL","600","7","2","2022-12-23T00:18:12.000000Z"
"144","SCHNITZELSCHOTEL","300","5","2","2022-12-23T00:18:12.000000Z"
"145","HALVE HAAN SCHOTEL","600","4","2","2022-12-23T00:18:12.000000Z"
"146","HAMBURGER STEAK","600","4","2","2022-12-23T00:18:12.000000Z"
"147","SATE SCHOTEL","600","4","2","2022-12-23T00:18:12.000000Z"
